lab.tree;lab.fruit_label;fruit_id;lab.caliber_mm;lab.height_mm;lab.weight_gr;lab.observations
5;442;05442;75.49;67.97;178;
5;443;05443;73.13;69.16;176.6;
5;444;05444;75.29;66.97;184.7;
5;445;05445;70.03;64.8;152.9;
5;446;05446;72.23;69.7;173.2;
5;447;05447;63.89;60.94;121.3;
5;448;05448;74.28;73.06;193.5;
5;449;05449;67.33;58.88;129.7;
5;450;05450;67.88;59.2;135.5;
5;451;05451;74.15;71.16;193.5;
5;452;05452;72.57;70.15;175.4;
5;453;05453;;;;Without data
6;454;06454;43.16;52.2;50.2;
6;455;06455;49.12;50.79;58.3;
6;456;06456;47.37;45.52;47.3;
6;457;06457;48.09;47.19;53.5;
6;458;06458;52.3;53.43;66.5;
6;459;06459;57.95;56.14;84.8;
6;460;06460;69.15;67.71;146.4;
6;461;06461;54.81;52.49;71.9;
6;462;06462;58.84;59.63;94.2;
6;463;06463;62.51;62.54;107.7;
6;464;06464;61.92;54.23;91;
6;465;06465;64.46;62.5;127.9;
6;466;06466;58.78;60.8;93.9;
6;467;06467;50.37;47.86;52.9;
6;468;06468;47.77;47.06;50.9;
6;469;06469;53.51;58.37;86;
6;470;06470;57.52;66.6;104.5;
6;471;06471;54.4;58.98;84.9;
6;472;06472;63.04;58.79;107.8;
6;473;06473;69.92;65.95;146;
6;474;06474;39.74;43.96;35.5;
6;475;06475;41.53;44.62;38.5;
6;476;06476;42.5;45.03;45.3;
6;477;06477;35.48;36.69;23.6;
6;478;06478;44.37;48.58;44.5;
6;479;06479;47.41;47.38;54.2;
6;480;06480;43.48;42.54;36.5;
6;481;06481;48.84;47.44;49.9;
6;482;06482;37.66;35.87;28;
6;483;06483;43.86;41.55;41.1;
6;484;06484;59.12;56.96;86.1;
6;485;06485;38.95;32.67;23.8;
6;486;06486;66.81;67.03;149.1;
6;487;06487;47.38;44.9;54.3;
6;488;06488;51.57;52.09;71.7;
6;489;06489;57.64;58.64;87.2;
6;490;06490;63.02;67.4;125.5;
6;491;06491;56.57;54.34;82.3;
6;492;06492;44.4;44.27;45.2;
6;493;06493;67.28;64.75;135.5;
6;494;06494;71.15;77.33;190.6;
6;495;06495;67.48;70.33;150.2;
6;496;06496;72.54;75.76;184.6;
6;497;06497;58.02;56.44;90.8;
6;498;06498;59.26;59.53;105;
6;499;06499;66.98;64.78;136.8;
6;500;06500;64.88;61.5;134.9;
6;501;06501;64.81;68.45;128.8;
6;502;06502;65.5;61.78;127.7;
6;503;06503;64.84;59.93;116.5;
6;504;06504;50.69;52.29;64.7;
6;505;06505;66.77;67.84;141.8;
6;506;06506;72.46;75.83;195.5;
6;507;06507;60.53;60.24;101;
6;508;06508;69.7;73.31;156.5;
6;509;06509;59.2;57.63;92.7;
6;510;06510;68.72;66.23;139.2;
6;511;06511;62.93;64.63;129;
6;512;06512;63.16;66.82;119.3;
6;513;06513;66.39;68.59;134.7;
6;514;06514;63.45;60.92;113;
6;515;06515;78.1;70.6;199.6;
6;516;06516;51.13;53.41;64.9;
6;517;06517;33.73;28.39;16.9;
6;518;06518;43.42;46.2;43.4;
6;519;06519;44.43;47.08;46.5;
6;520;06520;38.83;39.11;31;
6;521;06521;49.45;51.25;61.9;
6;522;06522;37.38;39.93;31.2;
6;523;06523;33.8;37.03;21.2;
6;524;06524;34.53;35.04;21.4;
6;525;06525;33.42;34.77;20.7;
6;526;06526;28.89;30.06;13.3;
6;527;06527;30.77;32.06;17.3;
6;528;06528;31.5;33.51;17.8;
6;529;06529;27.58;26.84;11.4;
6;530;06530;31.28;32.64;17.9;
6;531;06531;35.78;34.76;21.9;
6;532;06532;39.66;40.63;30.1;
6;533;06533;40.68;44.34;37.3;
6;534;06534;43.29;44.6;41.3;
6;535;06535;36.42;38.83;27.5;
6;536;06536;64.61;57.97;114;
6;537;06537;76;74.4;203.6;
6;538;06538;60.66;67.16;114.7;label has fallen off
6;539;06539;70.81;66.56;153.7;
6;540;06540;79.6;71.81;218.5;
6;541;06541;68.8;68.22;151.4;
6;542;06542;61.78;58.72;104.8;
6;543;06543;72.25;64.22;157.8;
6;544;06544;68.1;62.64;145.5;
6;545;06545;63.01;61.49;102.6;
6;546;06546;74.83;76.42;205.4;
6;547;06547;73.52;74.47;175.2;
6;548;06548;62.4;62.27;112.6;
6;549;06549;64.75;68.09;149.7;
6;550;06550;69.49;72.81;162.7;
6;551;06551;70.68;63.69;151;
6;552;06552;72.07;69.46;165.8;
6;553;06553;73.64;76.78;198.3;
6;554;06554;68.65;60.84;140.8;
6;555;06555;78.4;74.29;224.7;
6;556;06556;72.2;69.25;166;
6;557;06557;68.68;66.86;153.5;
6;558;06558;61.2;67.21;107.5;
6;559;06559;65.59;65.03;127.2;
6;560;06560;64.56;59.62;112.6;
6;561;06561;67.49;68.27;145.4;
6;562;06562;61.3;62.06;108.5;
6;563;06563;66.42;68.15;152.1;
6;564;06564;72.82;72.77;180.9;
6;565;06565;63.44;57.29;114.5;
6;566;06566;68.17;62.99;148.9;
6;567;06567;77.46;72.28;198.4;
6;568;06568;70.54;65.53;157.4;
6;569;06569;73.54;74.05;203.2;
6;570;06570;82.7;78.25;258.8;
6;571;06571;80.22;79.18;236;
6;572;06572;77.42;81.34;211.2;
6;573;06573;77.54;77.82;209.5;
6;574;06574;64.25;62.46;120.5;
6;575;06575;68.58;63.35;140.8;
6;576;06576;65.86;67.27;139.5;
6;577;06577;81.11;84.48;270;
6;578;06578;74.2;78.98;212.7;
6;579;06579;73.76;70.38;178.1;
6;580;06580;74.1;75.85;183.3;
6;581;06581;82.59;81.18;253.5;
6;582;06582;80.25;77.23;229.1;
6;583;06583;77.44;81.66;202.6;
6;584;06584;75.07;80.21;210.8;
6;585;06585;76.11;70.13;205.6;
6;586;06586;67.16;65;154;
6;587;06587;75.63;76.16;212.9;
6;588;06588;73.41;72.37;186.9;
6;589;06589;71.49;68.89;166.8;
6;590;06590;59.12;64.71;114.6;
6;591;06591;67.75;65.28;150.5;
7;867;07867;71.88;68.1;174.4;
7;868;07868;71.82;70.4;179.2;
7;869;07869;77.36;73.55;211.5;
7;870;07870;82.07;78.76;242.8;
7;871;07871;78.3;81.14;225.1;
7;872;07872;66.65;65.99;142.2;
7;873;07873;69.63;67.06;154.6;
7;874;07874;70.12;77.75;178.1;
7;875;07875;73.08;67.75;171.7;
7;876;07876;56.81;55.31;81.6;
7;877;07877;60.15;61.51;107.6;
7;878;07878;71.07;69.09;167.3;
7;879;07879;71.59;70.32;174.6;
7;880;07880;63.91;61.72;117.6;
7;881;07881;70.42;72.54;170.8;
7;882;07882;68.36;72.56;163.7;
7;883;07883;67.88;69.32;155.6;
7;884;07884;70.01;72.58;168.1;
7;885;07885;68.58;73.53;160.4;
7;886;07886;64.51;66.35;134.3;
7;887;07887;73.34;71.22;189.8;
7;888;07888;62.21;58.56;115.7;
7;889;07889;55.48;51.61;86;
7;890;07890;69.2;64.87;158.5;
7;891;07891;67.8;67.75;152.9;
7;892;07892;67.84;59.86;137.2;
7;893;07893;72.18;65.87;157.5;
7;894;07894;65.53;70.17;159.6;
7;895;07895;62.27;60.91;120.6;
7;896;07896;76.35;64.7;170.5;
7;897;07897;65.02;65.56;142.3;
7;898;07898;72.58;73.28;192;
7;899;07899;65.41;66.65;136.3;
7;900;07900;67.39;63.93;140.6;
7;901;07901;78.08;69.99;202.4;
7;902;07902;72.94;67.51;189.8;
7;903;07903;71.83;71.09;171.4;
7;904;07904;72.64;68.44;165.7;
7;905;07905;73.02;71.16;176.9;
7;906;07906;64.95;59.38;121;
7;907;07907;68.98;72.1;159.6;
7;908;07908;72.02;68.83;166.8;
7;909;07909;61.39;63.65;114.5;
7;910;07910;65.02;64.63;136.4;
7;911;07911;;;;Without data
7;912;07912;;;;Without data
7;913;07913;71.12;76.21;174;
7;914;07914;76.9;70.5;210.5;
7;915;07915;75.72;69.13;185.7;
7;916;07916;65.6;63.3;128.1;
7;917;07917;64.92;56.43;120.7;
7;918;07918;75.21;70.09;184;
7;919;07919;67.49;61.27;133.4;
7;920;07920;66.82;62.81;128.9;
7;921;07921;77.36;73.62;209.3;
7;922;07922;73.81;68.6;172.9;
7;923;07923;71.08;65.95;162.8;
7;924;07924;69.56;67.12;166.2;
7;925;07925;70.9;70.83;177.9;
7;926;07926;79.64;72.01;211.5;
7;927;07927;59.59;63.26;107.2;
7;928;07928;63.66;59.21;115.4;
7;929;07929;67.22;62.43;135;
7;930;07930;65.65;56.7;124.3;
7;931;07931;70.02;72.1;169;
7;932;07932;73.5;70.74;189.7;
7;933;07933;67.69;69.64;146.2;
7;934;07934;65.44;71.49;156.3;
7;935;07935;68.91;65.52;135.6;
7;936;07936;67.34;72.25;162.2;
7;937;07937;71.29;79.78;178.4;
7;938;07938;69.76;72.25;175.8;
7;939;07939;76.51;76.86;223.6;
7;940;07940;77.27;84.26;220.9;
7;941;07941;75.66;77.08;208.6;
7;942;07942;71.73;76.94;190;
7;943;07943;76.37;76.53;207.4;
7;944;07944;77.2;81.62;223.6;
7;945;07945;70.7;74.12;182.2;
7;946;07946;75.97;75.19;204.1;
7;947;07947;77.77;76.81;229.5;
7;948;07948;70.29;68.83;160;
7;949;07949;68.37;68.13;162.4;
7;950;07950;69.28;67.35;144.3;
7;951;07951;68.79;62.25;152.8;
7;952;07952;73.7;74.11;186.8;
7;953;07953;77.63;77.6;228.8;
7;954;07954;78.74;70.34;210.6;
7;955;07955;77.75;73.91;200.1;
7;956;07956;70.77;70.78;177.5;
7;957;07957;70.27;67.71;154.5;
7;958;07958;63.57;63.33;124.2;
7;959;07959;79.08;68.1;195.9;
7;960;07960;59.08;54.86;89.9;
7;961;07961;67.64;64.78;136.5;
7;962;07962;57.83;59.79;95.3;
7;963;07963;72.9;70.99;172.2;
7;964;07964;68.06;69.76;145.8;
7;965;07965;69.8;68.45;157.6;
7;966;07966;73.44;77.14;206.3;
7;967;07967;60.9;54.46;98.6;
7;968;07968;58.77;61.52;104.3;
7;969;07969;76.1;80.64;219.9;
